file1,file2,similarity
Country_Harvest_Buffet.txt,Country_Harvest_Buffet.txt,1.0
The_Mizpa_hotel.txt,The_Mizpa_hotel.txt,1.0
Lick_Road.txt,Lick_Road.txt,1.0
Louisiana_Tech_University.txt,Louisiana_Tech_University.txt,1.0
Scherwood_Lake_Apartments.txt,Scherwood_Lake_Apartments.txt,1.0
Brookside_elementary.txt,Brookside_elementary.txt,1.0
Azteca_Building.txt,Azteca_Building.txt,1.0
Old_Central_High_School.txt,Old_Central_High_School.txt,1.0
Mill_Bridge.txt,Mill_Bridge.txt,1.0
Maple_Pond_Trailer_Park.txt,Maple_Pond_Trailer_Park.txt,1.0
Lovers_Lane_road_Formerly_the_old_French_road.txt,Lovers_Lane_road_Formerly_the_old_French_road.txt,1.0
El_Paso_High_School.txt,El_Paso_High_School.txt,1.0
Finlandia_University.txt,Finlandia_University.txt,1.0
JFK_Gym.txt,JFK_Gym.txt,1.0
Gorman_School.txt,Gorman_School.txt,1.0
Old_AJ_Highway.txt,Old_AJ_Highway.txt,1.0
Early_Hill_Bed_and_Breakfast.txt,Early_Hill_Bed_and_Breakfast.txt,1.0
Nacoochee_Methodist_Church.txt,Nacoochee_Methodist_Church.txt,1.0
devils_bridge.txt,devils_bridge.txt,1.0
Family_Tree_Restaurant.txt,Family_Tree_Restaurant.txt,1.0
Penn_State_Behrens.txt,Penn_State_Behrens.txt,1.0
Mrs_P_amp_Me_Restaurant.txt,Mrs_P_amp_Me_Restaurant.txt,1.0
Mechanicsville.txt,Mechanicsville.txt,1.0
Mosser_Elementary_School.txt,Mosser_Elementary_School.txt,1.0
Electrolux_Eureka.txt,Electrolux_Eureka.txt,1.0
Alexis_Phelps_House.txt,Alexis_Phelps_House.txt,1.0
Holy_Name_Cemetery.txt,Holy_Name_Cemetery.txt,1.0
Railroad_tracks_that_go_through_the_middle_of_town.txt,Railroad_tracks_that_go_through_the_middle_of_town.txt,1.0
Lincoln_Park.txt,Lincoln_Park.txt,1.0
City_Jail.txt,City_Jail.txt,1.0
La_Minita_Creek.txt,La_Minita_Creek.txt,1.0
University_of_the_Incarnate_Word.txt,University_of_the_Incarnate_Word.txt,1.0
Stoney_End.txt,Stoney_End.txt,1.0
JA_Parker_School.txt,JA_Parker_School.txt,1.0
Graceland_Park_Cemetery.txt,Graceland_Park_Cemetery.txt,1.0
South_Dade_High_School.txt,South_Dade_High_School.txt,1.0
629_Grove_St_Industrial_Building.txt,629_Grove_St_Industrial_Building.txt,1.0
Mt_Hope_Road.txt,Mt_Hope_Road.txt,1.0
town_circle.txt,town_circle.txt,1.0
St_Colettas_College.txt,St_Colettas_College.txt,1.0
Dells_Bar.txt,Dells_Bar.txt,1.0
Old_Elementary_School_Caboose.txt,Old_Elementary_School_Caboose.txt,1.0
Imperial_Historic_Cemetery.txt,Imperial_Historic_Cemetery.txt,1.0
Thomas_Drive_Vacant_Lot.txt,Thomas_Drive_Vacant_Lot.txt,1.0
Armstrong_Rd.txt,Armstrong_Rd.txt,1.0
Elco_Naval_Base.txt,Elco_Naval_Base.txt,1.0
Violet_Cemetery.txt,Violet_Cemetery.txt,1.0
Happy_Valley.txt,Happy_Valley.txt,1.0
Grannys_Old_Farm_House_On_School_Road.txt,Grannys_Old_Farm_House_On_School_Road.txt,1.0
Old_Blue_House_in_neighborhood.txt,Old_Blue_House_in_neighborhood.txt,1.0
Peters_Township.txt,Peters_Township.txt,1.0
Fairfield_Hills_Hospital.txt,Fairfield_Hills_Hospital.txt,1.0
